slug,name,match_status
strata-pointe-technologies,Strata Pointe Technologies,new_from_sheet
stratus-networks-access2go,Stratus Networks (Access2Go),new_from_sheet
success-computer,Success Computer,new_from_sheet
summit,Summit,new_from_sheet
summit-broadband,Summit Broadband,new_from_sheet
summit-hosting,Summit Hosting,new_from_sheet
sun-communications,Sun Communications,new_from_sheet
supranet,SupraNet,new_from_sheet
switch,Switch,new_from_sheet
swtch-energy,SWTCH Energy,new_from_sheet
symbol-security,Symbol Security,new_from_sheet
syngrafii,Syngrafii,new_from_sheet
synoptek,Synoptek,new_from_sheet
syringa-networks-llc,"Syringa Networks, LLC",new_from_sheet
t-mobile-sprint,T-Mobile (Sprint),new_from_sheet
t-mobile-powered-by-hyperion,T-Mobile powered by Hyperion,new_from_sheet
t5-datacenters,T5 DataCenters,new_from_sheet
tailwind-voice-data,Tailwind Voice & Data,new_from_sheet
talkdesk,Talkdesk,new_from_sheet
tangoe,Tangoe,new_from_sheet
tcn,TCN,new_from_sheet
tcs-professional-services-llc,TCS Professional Services LLC,new_from_sheet
tdarx-nocdoc,TDarx (NocDoc),new_from_sheet
tds,TDS,new_from_sheet
teamviewer,TeamViewer,new_from_sheet
tec-integration-3cx,TEC Integration (3CX),new_from_sheet
tecex,TecEx,new_from_sheet
techmate,Techmate,new_from_sheet
techmd,TechMD,new_from_sheet
teksecute,TekSecute,new_from_sheet
tel-synergy-network,Tel-Synergy Network,new_from_sheet
telcloud,Telcloud,new_from_sheet
telebright-software,TeleBright Software,new_from_sheet
telefonica,Telefonica,new_from_sheet
telef-nica-global-solutions,Telefónica Global Solutions,new_from_sheet
telehouse,Telehouse,new_from_sheet
teleira-telecom-recovery,Teleira/Telecom Recovery,new_from_sheet
telemitra-inc,Telemitra Inc,new_from_sheet
telespace,Telespace,new_from_sheet
telesystem,Telesystem,new_from_sheet
teligentip,TeligentIP,new_from_sheet
teligistics,Teligistics,new_from_sheet
tellennium,Tellennium,new_from_sheet
telnet,Telnet,new_from_sheet
telnyx,Telnyx,new_from_sheet
telstra,Telstra,new_from_sheet
telsynergy,TelSynergy,new_from_sheet
teneo-ai,Teneo.ai,new_from_sheet
terago,TeraGO,new_from_sheet
teranova,TeraNova,new_from_sheet
terrestrial-broadband-services-coax,Terrestrial Broadband Services (Coax,new_from_sheet
the-conference-group,The Conference Group,new_from_sheet
the-davinci-group,The Davinci Group,new_from_sheet
thincforward,ThincForward,new_from_sheet
third-wave-innovations,Third Wave Innovations,new_from_sheet
thought-horizon,Thought Horizon,new_from_sheet
thread-legal,Thread Legal,new_from_sheet
threater,ThreatER,new_from_sheet
thrive-networks,Thrive Networks,new_from_sheet
thryv-inc,"Thryv, Inc",new_from_sheet
tierpoint,TierPoint,new_from_sheet
tierzero,TierZero,new_from_sheet
titanium-payments,Titanium Payments,new_from_sheet
titanngn,TitanNGN,new_from_sheet
tns-transaction-network-services-inc,TNS - Transaction Network Services Inc.,new_from_sheet
touchtone,Touchtone,new_from_sheet
touchtone-communications,TouchTone Communications,new_from_sheet
tpx-telepacific,TPx (TelePacific),new_from_sheet
trend-micro,Trend Micro,new_from_sheet
trimio,Trimio,new_from_sheet
trinsio,Trinsio,new_from_sheet
tune-llc,Tune LLC,new_from_sheet
turbobridge,TurboBridge,new_from_sheet
ubistor,UbiStor,new_from_sheet
ubix-ai,UBIX.AI,new_from_sheet
ujet,UJet,new_from_sheet
ulap,ULAP,new_from_sheet
ultatel,Ultatel,new_from_sheet
unisys,Unisys,new_from_sheet
uniti-fiber-fka-windstream,Uniti Fiber (fka Windstream),new_from_sheet
uniti-wholesale,Uniti Wholesale,new_from_sheet
unity-communications,Unity Communications,new_from_sheet
univoip,UniVoIP,new_from_sheet
unwired-broadband,unWired Broadband,new_from_sheet
upcurve-cloud,UpCurve Cloud,new_from_sheet
uplift-global,Uplift Global,new_from_sheet
us-signal,US Signal,new_from_sheet
utah-broadband,Utah Broadband,new_from_sheet
utility-telecom,Utility Telecom,new_from_sheet
v2-cloud,V2 Cloud,new_from_sheet
valicom-corp,Valicom Corp,new_from_sheet
valorc3-data-centers,ValorC3 Data Centers,new_from_sheet
vcom-solutions,VCom Solutions,new_from_sheet
veea-inc,Veea Inc.,new_from_sheet
verifinow,VerifiNow,new_from_sheet
verint,Verint,new_from_sheet
veritas,Veritas,new_from_sheet
verizon,Verizon,new_from_sheet
verizon-telecom,Verizon Telecom,new_from_sheet
verizon-wireless,Verizon Wireless,new_from_sheet
verizon-wireline,Verizon Wireline,new_from_sheet
vertek,Vertek,new_from_sheet
verve,Verve,new_from_sheet
vested-networks,Vested Networks,new_from_sheet
vesuvitas,VesuvITas,new_from_sheet
viasat,Viasat,new_from_sheet
vigilant-technology-solutions,Vigilant Technology Solutions,new_from_sheet
vinakom,VinaKom,new_from_sheet
virtru,Virtru,new_from_sheet
visibility-one,Visibility One,new_from_sheet
vmox,vMox,new_from_sheet
vocalip,VocalIP,new_from_sheet
vodafone,Vodafone,new_from_sheet
voe-networks,Voe Networks,new_from_sheet
voice-prompts-ai,Voice Prompts AI,new_from_sheet
voiped-telecom,Voiped Telecom,new_from_sheet
volico-sling-broadband-faster-io,Volico / Sling Broadband / Faster.IO,new_from_sheet
vyve-broadband,Vyve Broadband,new_from_sheet
wan-dynamics,WAN Dynamics,new_from_sheet
warner-telecomm,Warner Telecomm,new_from_sheet
waterfield-technologies,Waterfield Technologies,new_from_sheet
weave,Weave,new_from_sheet
webinar-net,Webinar.net,new_from_sheet
webroot-by-opentext,Webroot by OpenText,new_from_sheet
wenable,Wenable,new_from_sheet
wiline,Wiline,new_from_sheet
wirediq,WiredIQ,new_from_sheet
wireless-mettel,Wireless MetTel,new_from_sheet
wireless-t-mobile,Wireless T-Mobile,new_from_sheet
wireless-verizon,Wireless Verizon,new_from_sheet
wireless-watchdogs,Wireless Watchdogs,new_from_sheet
wow-business,WOW! Business,new_from_sheet
wowrack,Wowrack,new_from_sheet
wrightcore,WrightCore,new_from_sheet
xaqt-inc,"Xaqt, Inc.",new_from_sheet
xcitium,XCITIUM,new_from_sheet
xenex,XeneX,new_from_sheet
xentegra,XenTegra,new_from_sheet
xpanse,Xpanse,new_from_sheet
xsi-xsnet,Xsi-Xsnet,new_from_sheet
xtel,Xtel,new_from_sheet
xtium,XTIUM,new_from_sheet
yellow-ai,Yellow.ai,new_from_sheet
yes-energy,YES Energy,new_from_sheet
yoursix,YourSix,new_from_sheet
zayo,Zayo,new_from_sheet
zendesk,Zendesk,new_from_sheet
zenlayer,Zenlayer,new_from_sheet
zentro,Zentro,new_from_sheet
zerooutages,ZeroOutages,new_from_sheet
ziply-fiber,Ziply Fiber,new_from_sheet
zoom,Zoom,new_from_sheet
zscaler,ZScaler,new_from_sheet
zultys,Zultys,new_from_sheet
